date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Medical Technician
2020-02-01,US,100,new postings,Medical Technician
2020-02-02,US,100.08,total postings,Medical Technician
2020-02-02,US,100.6,new postings,Medical Technician
2020-02-03,US,100.22,total postings,Medical Technician
2020-02-03,US,100.99,new postings,Medical Technician
2020-02-04,US,100.35,total postings,Medical Technician
2020-02-04,US,101.02,new postings,Medical Technician
2020-02-05,US,100.35,total postings,Medical Technician
2020-02-05,US,101.27,new postings,Medical Technician
2020-02-06,US,100.43,total postings,Medical Technician
2020-02-06,US,101.19,new postings,Medical Technician
2020-02-07,US,100.42,total postings,Medical Technician
2020-02-07,US,101.36,new postings,Medical Technician
2020-02-08,US,100.35,total postings,Medical Technician
2020-02-08,US,101.41,new postings,Medical Technician
2020-02-09,US,100.29,total postings,Medical Technician
2020-02-09,US,101.19,new postings,Medical Technician
2020-02-10,US,100.24,total postings,Medical Technician
2020-02-10,US,101.18,new postings,Medical Technician
2020-02-11,US,100.17,total postings,Medical Technician
2020-02-11,US,101.41,new postings,Medical Technician
2020-02-12,US,100.21,total postings,Medical Technician
2020-02-12,US,101.91,new postings,Medical Technician
2020-02-13,US,100.13,total postings,Medical Technician
2020-02-13,US,102.44,new postings,Medical Technician
2020-02-14,US,100.14,total postings,Medical Technician
2020-02-14,US,102.52,new postings,Medical Technician
2020-02-15,US,100.1,total postings,Medical Technician
2020-02-15,US,102.72,new postings,Medical Technician
2020-02-16,US,100.16,total postings,Medical Technician
2020-02-16,US,103.17,new postings,Medical Technician
2020-02-17,US,100.24,total postings,Medical Technician
2020-02-17,US,103.35,new postings,Medical Technician
2020-02-18,US,100.24,total postings,Medical Technician
2020-02-18,US,103,new postings,Medical Technician
2020-02-19,US,100.31,total postings,Medical Technician
2020-02-19,US,102.2,new postings,Medical Technician
2020-02-20,US,100.31,total postings,Medical Technician
2020-02-20,US,101.4,new postings,Medical Technician
2020-02-21,US,100.38,total postings,Medical Technician
2020-02-21,US,101.02,new postings,Medical Technician
2020-02-22,US,100.44,total postings,Medical Technician
2020-02-22,US,100.37,new postings,Medical Technician
2020-02-23,US,100.48,total postings,Medical Technician
2020-02-23,US,99.73,new postings,Medical Technician
2020-02-24,US,100.49,total postings,Medical Technician
2020-02-24,US,99.32,new postings,Medical Technician
2020-02-25,US,100.62,total postings,Medical Technician
2020-02-25,US,99.76,new postings,Medical Technician
2020-02-26,US,100.69,total postings,Medical Technician
2020-02-26,US,100.2,new postings,Medical Technician
2020-02-27,US,100.84,total postings,Medical Technician
2020-02-27,US,100.86,new postings,Medical Technician
2020-02-28,US,100.9,total postings,Medical Technician
2020-02-28,US,100.87,new postings,Medical Technician
2020-02-29,US,101.15,total postings,Medical Technician
2020-02-29,US,102.17,new postings,Medical Technician
2020-03-01,US,101.38,total postings,Medical Technician
2020-03-01,US,103.41,new postings,Medical Technician
2020-03-02,US,101.57,total postings,Medical Technician
2020-03-02,US,104.56,new postings,Medical Technician
2020-03-03,US,101.55,total postings,Medical Technician
2020-03-03,US,105,new postings,Medical Technician
2020-03-04,US,101.53,total postings,Medical Technician
2020-03-04,US,105.57,new postings,Medical Technician
2020-03-05,US,101.54,total postings,Medical Technician
2020-03-05,US,106.14,new postings,Medical Technician
2020-03-06,US,101.53,total postings,Medical Technician
2020-03-06,US,107.09,new postings,Medical Technician
