date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Human Resources
2020-02-01,US,100,new postings,Human Resources
2020-02-02,US,99.72,total postings,Human Resources
2020-02-02,US,100.46,new postings,Human Resources
2020-02-03,US,99.68,total postings,Human Resources
2020-02-03,US,100.95,new postings,Human Resources
2020-02-04,US,99.67,total postings,Human Resources
2020-02-04,US,100.76,new postings,Human Resources
2020-02-05,US,99.7,total postings,Human Resources
2020-02-05,US,101.06,new postings,Human Resources
2020-02-06,US,99.8,total postings,Human Resources
2020-02-06,US,101.71,new postings,Human Resources
2020-02-07,US,99.87,total postings,Human Resources
2020-02-07,US,102.29,new postings,Human Resources
2020-02-08,US,99.98,total postings,Human Resources
2020-02-08,US,102.97,new postings,Human Resources
2020-02-09,US,100.07,total postings,Human Resources
2020-02-09,US,103.85,new postings,Human Resources
2020-02-10,US,100.23,total postings,Human Resources
2020-02-10,US,104.86,new postings,Human Resources
2020-02-11,US,100.33,total postings,Human Resources
2020-02-11,US,106.06,new postings,Human Resources
2020-02-12,US,100.39,total postings,Human Resources
2020-02-12,US,106.85,new postings,Human Resources
2020-02-13,US,100.4,total postings,Human Resources
2020-02-13,US,107.29,new postings,Human Resources
2020-02-14,US,100.42,total postings,Human Resources
2020-02-14,US,107.37,new postings,Human Resources
2020-02-15,US,100.33,total postings,Human Resources
2020-02-15,US,107.04,new postings,Human Resources
2020-02-16,US,100.38,total postings,Human Resources
2020-02-16,US,106.72,new postings,Human Resources
2020-02-17,US,100.35,total postings,Human Resources
2020-02-17,US,106.32,new postings,Human Resources
2020-02-18,US,100.31,total postings,Human Resources
2020-02-18,US,105.26,new postings,Human Resources
2020-02-19,US,100.21,total postings,Human Resources
2020-02-19,US,104.02,new postings,Human Resources
2020-02-20,US,100.2,total postings,Human Resources
2020-02-20,US,102.87,new postings,Human Resources
2020-02-21,US,100.22,total postings,Human Resources
2020-02-21,US,102.69,new postings,Human Resources
2020-02-22,US,100.03,total postings,Human Resources
2020-02-22,US,102.07,new postings,Human Resources
2020-02-23,US,99.96,total postings,Human Resources
2020-02-23,US,101.29,new postings,Human Resources
2020-02-24,US,99.87,total postings,Human Resources
