date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Customer Service
2020-02-01,US,100,total postings,Customer Service
2020-02-02,US,100.18,new postings,Customer Service
2020-02-02,US,100.06,total postings,Customer Service
2020-02-03,US,100.46,new postings,Customer Service
2020-02-03,US,100.2,total postings,Customer Service
2020-02-04,US,100.3,new postings,Customer Service
2020-02-04,US,100.25,total postings,Customer Service
2020-02-05,US,100.3,new postings,Customer Service
2020-02-05,US,100.36,total postings,Customer Service
2020-02-06,US,100.52,new postings,Customer Service
2020-02-06,US,100.6,total postings,Customer Service
2020-02-07,US,100.6,new postings,Customer Service
2020-02-07,US,100.54,total postings,Customer Service
2020-02-08,US,100.5,new postings,Customer Service
2020-02-08,US,100.59,total postings,Customer Service
2020-02-09,US,100.14,new postings,Customer Service
2020-02-09,US,100.51,total postings,Customer Service
2020-02-10,US,99.83,new postings,Customer Service
2020-02-10,US,100.42,total postings,Customer Service
2020-02-11,US,100.15,new postings,Customer Service
2020-02-11,US,100.44,total postings,Customer Service
2020-02-12,US,100.91,new postings,Customer Service
2020-02-12,US,100.46,total postings,Customer Service
2020-02-13,US,101.71,new postings,Customer Service
2020-02-13,US,100.46,total postings,Customer Service
2020-02-14,US,102.31,new postings,Customer Service
2020-02-14,US,100.45,total postings,Customer Service
2020-02-15,US,102.61,new postings,Customer Service
2020-02-15,US,100.09,total postings,Customer Service
2020-02-16,US,102.99,new postings,Customer Service
2020-02-16,US,99.84,total postings,Customer Service
2020-02-17,US,103.3,new postings,Customer Service
2020-02-17,US,99.54,total postings,Customer Service
2020-02-18,US,102.36,new postings,Customer Service
2020-02-18,US,99.2,total postings,Customer Service
2020-02-19,US,100.56,new postings,Customer Service
2020-02-19,US,98.89,total postings,Customer Service
2020-02-20,US,98.68,new postings,Customer Service
2020-02-20,US,98.59,total postings,Customer Service
2020-02-21,US,97.31,new postings,Customer Service
2020-02-21,US,98.31,total postings,Customer Service
2020-02-22,US,97.52,new postings,Customer Service
2020-02-22,US,98.25,total postings,Customer Service
2020-02-23,US,97.63,new postings,Customer Service
2020-02-23,US,98.23,total postings,Customer Service
2020-02-24,US,97.59,new postings,Customer Service
2020-02-24,US,98.29,total postings,Customer Service
2020-02-25,US,98.53,new postings,Customer Service
2020-02-25,US,98.36,total postings,Customer Service
2020-02-26,US,99.39,new postings,Customer Service
2020-02-26,US,98.3,total postings,Customer Service
2020-02-27,US,100.61,new postings,Customer Service
2020-02-27,US,98.2,total postings,Customer Service
2020-02-28,US,101.4,new postings,Customer Service
2020-02-28,US,98.19,total postings,Customer Service
2020-02-29,US,101.46,new postings,Customer Service
2020-02-29,US,98.4,total postings,Customer Service
2020-03-01,US,101.71,new postings,Customer Service
2020-03-01,US,98.52,total postings,Customer Service
2020-03-02,US,102.3,new postings,Customer Service
2020-03-02,US,98.58,total postings,Customer Service
2020-03-03,US,102.43,new postings,Customer Service
2020-03-03,US,98.62,total postings,Customer Service
2020-03-04,US,103.16,new postings,Customer Service
2020-03-04,US,98.71,total postings,Customer Service
2020-03-05,US,103.77,new postings,Customer Service
2020-03-05,US,98.81,total postings,Customer Service
2020-03-06,US,104.35,new postings,Customer Service
2020-03-06,US,98.73,total postings,Customer Service
2020-03-07,US,103.88,new postings,Customer Service
2020-03-07,US,98.49,total postings,Customer Service
2020-03-08,US,103.23,new postings,Customer Service
2020-03-08,US,98.33,total postings,Customer Service
2020-03-09,US,102.41,new postings,Customer Service
2020-03-09,US,98.08,total postings,Customer Service
2020-03-10,US,101.3,new postings,Customer Service
