date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Mechanical Engineering
2020-02-01,US,100,total postings,Mechanical Engineering
2020-02-02,US,101.8,new postings,Mechanical Engineering
2020-02-02,US,100.09,total postings,Mechanical Engineering
2020-02-03,US,100.19,total postings,Mechanical Engineering
2020-02-03,US,103.54,new postings,Mechanical Engineering
2020-02-04,US,104.18,new postings,Mechanical Engineering
2020-02-04,US,100.28,total postings,Mechanical Engineering
2020-02-05,US,100.37,total postings,Mechanical Engineering
2020-02-05,US,105.2,new postings,Mechanical Engineering
2020-02-06,US,100.52,total postings,Mechanical Engineering
2020-02-06,US,106,new postings,Mechanical Engineering
2020-02-07,US,100.72,total postings,Mechanical Engineering
2020-02-07,US,106.69,new postings,Mechanical Engineering
2020-02-08,US,106.28,new postings,Mechanical Engineering
2020-02-08,US,100.88,total postings,Mechanical Engineering
2020-02-09,US,105.72,new postings,Mechanical Engineering
2020-02-09,US,101.01,total postings,Mechanical Engineering
2020-02-10,US,104.73,new postings,Mechanical Engineering
2020-02-10,US,101.12,total postings,Mechanical Engineering
2020-02-11,US,101.14,total postings,Mechanical Engineering
2020-02-11,US,103.36,new postings,Mechanical Engineering
2020-02-12,US,101.64,new postings,Mechanical Engineering
2020-02-12,US,101.19,total postings,Mechanical Engineering
2020-02-13,US,101.12,total postings,Mechanical Engineering
2020-02-13,US,99.83,new postings,Mechanical Engineering
2020-02-14,US,101.08,total postings,Mechanical Engineering
2020-02-14,US,98,new postings,Mechanical Engineering
2020-02-15,US,97.38,new postings,Mechanical Engineering
2020-02-15,US,101.04,total postings,Mechanical Engineering
2020-02-16,US,101.15,total postings,Mechanical Engineering
2020-02-16,US,97.37,new postings,Mechanical Engineering
2020-02-17,US,97.67,new postings,Mechanical Engineering
2020-02-17,US,101.19,total postings,Mechanical Engineering
2020-02-18,US,101.19,total postings,Mechanical Engineering
2020-02-18,US,98.07,new postings,Mechanical Engineering
2020-02-19,US,99.3,new postings,Mechanical Engineering
2020-02-19,US,101.26,total postings,Mechanical Engineering
2020-02-20,US,100.54,new postings,Mechanical Engineering
2020-02-20,US,101.29,total postings,Mechanical Engineering
2020-02-21,US,101.99,new postings,Mechanical Engineering
2020-02-21,US,101.22,total postings,Mechanical Engineering
2020-02-22,US,102.09,new postings,Mechanical Engineering
2020-02-22,US,100.97,total postings,Mechanical Engineering
2020-02-23,US,101.83,new postings,Mechanical Engineering
2020-02-23,US,100.82,total postings,Mechanical Engineering
2020-02-24,US,100.69,total postings,Mechanical Engineering
2020-02-24,US,101.26,new postings,Mechanical Engineering
2020-02-25,US,102.27,new postings,Mechanical Engineering
2020-02-25,US,100.65,total postings,Mechanical Engineering
2020-02-26,US,100.43,total postings,Mechanical Engineering
2020-02-26,US,101.57,new postings,Mechanical Engineering
2020-02-27,US,100.21,total postings,Mechanical Engineering
2020-02-27,US,100.69,new postings,Mechanical Engineering
2020-02-28,US,99.39,new postings,Mechanical Engineering
2020-02-28,US,100.03,total postings,Mechanical Engineering
2020-02-29,US,98.62,new postings,Mechanical Engineering
2020-02-29,US,100.01,total postings,Mechanical Engineering
2020-03-01,US,99.81,total postings,Mechanical Engineering
2020-03-01,US,97.75,new postings,Mechanical Engineering
2020-03-02,US,99.69,total postings,Mechanical Engineering
2020-03-02,US,97.07,new postings,Mechanical Engineering
2020-03-03,US,95.04,new postings,Mechanical Engineering
2020-03-03,US,99.47,total postings,Mechanical Engineering
2020-03-04,US,99.36,total postings,Mechanical Engineering
2020-03-04,US,94.23,new postings,Mechanical Engineering
2020-03-05,US,93.36,new postings,Mechanical Engineering
