date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Administrative Assistance
2020-02-01,US,100,new postings,Administrative Assistance
2020-02-02,US,99.94,total postings,Administrative Assistance
2020-02-02,US,100.44,new postings,Administrative Assistance
2020-02-03,US,100.03,total postings,Administrative Assistance
2020-02-03,US,100.75,new postings,Administrative Assistance
2020-02-04,US,100.01,total postings,Administrative Assistance
2020-02-04,US,100.22,new postings,Administrative Assistance
2020-02-05,US,100.03,total postings,Administrative Assistance
2020-02-05,US,99.81,new postings,Administrative Assistance
2020-02-06,US,100.11,total postings,Administrative Assistance
2020-02-06,US,99.42,new postings,Administrative Assistance
2020-02-07,US,100.18,total postings,Administrative Assistance
2020-02-07,US,99.1,new postings,Administrative Assistance
2020-02-08,US,100.31,total postings,Administrative Assistance
2020-02-08,US,98.66,new postings,Administrative Assistance
2020-02-09,US,100.39,total postings,Administrative Assistance
2020-02-09,US,98.64,new postings,Administrative Assistance
2020-02-10,US,100.49,total postings,Administrative Assistance
2020-02-10,US,98.79,new postings,Administrative Assistance
2020-02-11,US,100.62,total postings,Administrative Assistance
2020-02-11,US,99.14,new postings,Administrative Assistance
2020-02-12,US,100.64,total postings,Administrative Assistance
2020-02-12,US,99.53,new postings,Administrative Assistance
2020-02-13,US,100.64,total postings,Administrative Assistance
2020-02-13,US,99.96,new postings,Administrative Assistance
2020-02-14,US,100.71,total postings,Administrative Assistance
2020-02-14,US,100.33,new postings,Administrative Assistance
2020-02-15,US,100.56,total postings,Administrative Assistance
2020-02-15,US,100.6,new postings,Administrative Assistance
2020-02-16,US,100.56,total postings,Administrative Assistance
2020-02-16,US,100.87,new postings,Administrative Assistance
2020-02-17,US,100.59,total postings,Administrative Assistance
2020-02-17,US,101.21,new postings,Administrative Assistance
2020-02-18,US,100.52,total postings,Administrative Assistance
2020-02-18,US,101.16,new postings,Administrative Assistance
2020-02-19,US,100.51,total postings,Administrative Assistance
2020-02-19,US,100.45,new postings,Administrative Assistance
2020-02-20,US,100.37,total postings,Administrative Assistance
2020-02-20,US,99.99,new postings,Administrative Assistance
2020-02-21,US,100.26,total postings,Administrative Assistance
2020-02-21,US,100.01,new postings,Administrative Assistance
2020-02-22,US,100.16,total postings,Administrative Assistance
2020-02-22,US,99.94,new postings,Administrative Assistance
2020-02-23,US,100.04,total postings,Administrative Assistance
2020-02-23,US,99.71,new postings,Administrative Assistance
2020-02-24,US,99.98,total postings,Administrative Assistance
2020-02-24,US,99.39,new postings,Administrative Assistance
2020-02-25,US,100.02,total postings,Administrative Assistance
2020-02-25,US,100.11,new postings,Administrative Assistance
2020-02-26,US,100.15,total postings,Administrative Assistance
2020-02-26,US,101.43,new postings,Administrative Assistance
2020-02-27,US,100.4,total postings,Administrative Assistance
2020-02-27,US,102.24,new postings,Administrative Assistance
2020-02-28,US,100.61,total postings,Administrative Assistance
2020-02-28,US,102.49,new postings,Administrative Assistance
2020-02-29,US,101,total postings,Administrative Assistance
2020-02-29,US,103.2,new postings,Administrative Assistance
2020-03-01,US,100.86,total postings,Administrative Assistance
2020-03-01,US,103.92,new postings,Administrative Assistance
