date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Loading & Stocking
2020-02-01,US,100,total postings,Loading & Stocking
2020-02-02,US,98.86,new postings,Loading & Stocking
2020-02-02,US,99.91,total postings,Loading & Stocking
2020-02-03,US,97.85,new postings,Loading & Stocking
2020-02-03,US,99.82,total postings,Loading & Stocking
2020-02-04,US,96.52,new postings,Loading & Stocking
2020-02-04,US,99.81,total postings,Loading & Stocking
2020-02-05,US,95.96,new postings,Loading & Stocking
2020-02-05,US,99.85,total postings,Loading & Stocking
2020-02-06,US,94.97,new postings,Loading & Stocking
2020-02-06,US,99.94,total postings,Loading & Stocking
2020-02-07,US,94.36,new postings,Loading & Stocking
2020-02-07,US,99.94,total postings,Loading & Stocking
2020-02-08,US,93.52,new postings,Loading & Stocking
2020-02-08,US,99.94,total postings,Loading & Stocking
2020-02-09,US,92.89,new postings,Loading & Stocking
2020-02-09,US,99.89,total postings,Loading & Stocking
2020-02-10,US,92.68,new postings,Loading & Stocking
2020-02-10,US,99.86,total postings,Loading & Stocking
2020-02-11,US,93.08,new postings,Loading & Stocking
2020-02-11,US,99.75,total postings,Loading & Stocking
2020-02-12,US,93.12,new postings,Loading & Stocking
2020-02-12,US,99.7,total postings,Loading & Stocking
2020-02-13,US,93.63,new postings,Loading & Stocking
2020-02-13,US,99.65,total postings,Loading & Stocking
2020-02-14,US,94.01,new postings,Loading & Stocking
2020-02-14,US,99.61,total postings,Loading & Stocking
2020-02-15,US,94.6,new postings,Loading & Stocking
2020-02-15,US,99.43,total postings,Loading & Stocking
2020-02-16,US,95.3,new postings,Loading & Stocking
2020-02-16,US,99.41,total postings,Loading & Stocking
2020-02-17,US,95.72,new postings,Loading & Stocking
2020-02-17,US,99.4,total postings,Loading & Stocking
2020-02-18,US,95.52,new postings,Loading & Stocking
2020-02-18,US,99.3,total postings,Loading & Stocking
2020-02-19,US,95.31,new postings,Loading & Stocking
2020-02-19,US,99.26,total postings,Loading & Stocking
