date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Social Science
2020-02-01,US,100,total postings,Social Science
2020-02-02,US,101.53,new postings,Social Science
2020-02-02,US,100.11,total postings,Social Science
2020-02-03,US,103.23,new postings,Social Science
2020-02-03,US,100.35,total postings,Social Science
2020-02-04,US,102.9,new postings,Social Science
2020-02-04,US,100.46,total postings,Social Science
2020-02-05,US,101.73,new postings,Social Science
2020-02-05,US,100.7,total postings,Social Science
2020-02-06,US,98.75,new postings,Social Science
2020-02-06,US,100.76,total postings,Social Science
2020-02-07,US,96.73,new postings,Social Science
2020-02-07,US,100.75,total postings,Social Science
2020-02-08,US,94.31,new postings,Social Science
2020-02-08,US,100.47,total postings,Social Science
2020-02-09,US,91.45,new postings,Social Science
2020-02-09,US,100.25,total postings,Social Science
2020-02-10,US,89.12,new postings,Social Science
2020-02-10,US,100.04,total postings,Social Science
2020-02-11,US,87.99,new postings,Social Science
2020-02-11,US,99.99,total postings,Social Science
2020-02-12,US,87.68,new postings,Social Science
2020-02-12,US,99.87,total postings,Social Science
2020-02-13,US,88.98,new postings,Social Science
2020-02-13,US,99.73,total postings,Social Science
2020-02-14,US,88.55,new postings,Social Science
2020-02-14,US,99.65,total postings,Social Science
2020-02-15,US,88.52,new postings,Social Science
2020-02-15,US,99.69,total postings,Social Science
2020-02-16,US,89.32,new postings,Social Science
2020-02-16,US,99.7,total postings,Social Science
2020-02-17,US,89.92,new postings,Social Science
2020-02-17,US,99.68,total postings,Social Science
2020-02-18,US,90.62,new postings,Social Science
2020-02-18,US,99.69,total postings,Social Science
2020-02-19,US,89.56,new postings,Social Science
2020-02-19,US,99.35,total postings,Social Science
2020-02-20,US,88.42,new postings,Social Science
2020-02-20,US,99.04,total postings,Social Science
2020-02-21,US,88.08,new postings,Social Science
2020-02-21,US,98.79,total postings,Social Science
2020-02-22,US,87.69,new postings,Social Science
2020-02-22,US,98.62,total postings,Social Science
2020-02-23,US,87.05,new postings,Social Science
2020-02-23,US,98.57,total postings,Social Science
2020-02-24,US,85.9,new postings,Social Science
2020-02-24,US,98.54,total postings,Social Science
2020-02-25,US,85.54,new postings,Social Science
2020-02-25,US,98.46,total postings,Social Science
2020-02-26,US,86.51,new postings,Social Science
2020-02-26,US,98.64,total postings,Social Science
2020-02-27,US,87.23,new postings,Social Science
2020-02-27,US,98.93,total postings,Social Science
2020-02-28,US,88.54,new postings,Social Science
2020-02-28,US,98.87,total postings,Social Science
2020-02-29,US,90.57,new postings,Social Science
2020-02-29,US,98.96,total postings,Social Science
2020-03-01,US,92.64,new postings,Social Science
2020-03-01,US,98.87,total postings,Social Science
2020-03-02,US,94.78,new postings,Social Science
2020-03-02,US,98.77,total postings,Social Science
2020-03-03,US,96.95,new postings,Social Science
2020-03-03,US,98.65,total postings,Social Science
2020-03-04,US,112.63,new postings,Social Science
2020-03-04,US,100.3,total postings,Social Science
2020-03-05,US,128.92,new postings,Social Science
2020-03-05,US,101.78,total postings,Social Science
2020-03-06,US,131.94,new postings,Social Science
2020-03-06,US,102.15,total postings,Social Science
2020-03-07,US,133.56,new postings,Social Science
2020-03-07,US,102.34,total postings,Social Science
2020-03-08,US,134.43,new postings,Social Science
2020-03-08,US,102.58,total postings,Social Science
2020-03-09,US,134.93,new postings,Social Science
2020-03-09,US,102.64,total postings,Social Science
2020-03-10,US,133.23,new postings,Social Science
2020-03-10,US,102.82,total postings,Social Science
2020-03-11,US,116.09,new postings,Social Science
2020-03-11,US,101.11,total postings,Social Science
2020-03-12,US,97.02,new postings,Social Science
2020-03-12,US,99.43,total postings,Social Science
2020-03-13,US,89.57,new postings,Social Science
2020-03-13,US,99.03,total postings,Social Science
2020-03-14,US,83.36,new postings,Social Science
2020-03-14,US,98.66,total postings,Social Science
2020-03-15,US,78.38,new postings,Social Science
2020-03-15,US,98.21,total postings,Social Science
2020-03-16,US,73.9,new postings,Social Science
2020-03-16,US,97.93,total postings,Social Science
2020-03-17,US,70.03,new postings,Social Science
2020-03-17,US,97.4,total postings,Social Science
2020-03-18,US,67.02,new postings,Social Science
2020-03-18,US,96.8,total postings,Social Science
2020-03-19,US,66.39,new postings,Social Science
2020-03-19,US,95.88,total postings,Social Science
2020-03-20,US,66.74,new postings,Social Science
