date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Security & Public Safety
2020-02-01,US,100,total postings,Security & Public Safety
2020-02-02,US,100.57,new postings,Security & Public Safety
2020-02-02,US,100.04,total postings,Security & Public Safety
2020-02-03,US,100.9,new postings,Security & Public Safety
2020-02-03,US,100.05,total postings,Security & Public Safety
2020-02-04,US,100.04,new postings,Security & Public Safety
2020-02-04,US,100.05,total postings,Security & Public Safety
2020-02-05,US,99.5,new postings,Security & Public Safety
2020-02-05,US,100.07,total postings,Security & Public Safety
2020-02-06,US,98.82,new postings,Security & Public Safety
2020-02-06,US,100.09,total postings,Security & Public Safety
2020-02-07,US,97.98,new postings,Security & Public Safety
2020-02-07,US,100.04,total postings,Security & Public Safety
2020-02-08,US,97.33,new postings,Security & Public Safety
2020-02-08,US,100.08,total postings,Security & Public Safety
2020-02-09,US,97.37,new postings,Security & Public Safety
2020-02-09,US,100.03,total postings,Security & Public Safety
2020-02-10,US,97.51,new postings,Security & Public Safety
2020-02-10,US,100.03,total postings,Security & Public Safety
2020-02-11,US,97.9,new postings,Security & Public Safety
2020-02-11,US,99.98,total postings,Security & Public Safety
2020-02-12,US,98.25,new postings,Security & Public Safety
2020-02-12,US,99.93,total postings,Security & Public Safety
2020-02-13,US,98.45,new postings,Security & Public Safety
2020-02-13,US,99.96,total postings,Security & Public Safety
2020-02-14,US,98.54,new postings,Security & Public Safety
2020-02-14,US,100.01,total postings,Security & Public Safety
2020-02-15,US,98.76,new postings,Security & Public Safety
2020-02-15,US,99.99,total postings,Security & Public Safety
2020-02-16,US,98.97,new postings,Security & Public Safety
2020-02-16,US,100.05,total postings,Security & Public Safety
2020-02-17,US,98.73,new postings,Security & Public Safety
2020-02-17,US,100.04,total postings,Security & Public Safety
2020-02-18,US,100.37,new postings,Security & Public Safety
2020-02-18,US,100.31,total postings,Security & Public Safety
2020-02-19,US,100.16,new postings,Security & Public Safety
2020-02-19,US,100.36,total postings,Security & Public Safety
2020-02-20,US,100.65,new postings,Security & Public Safety
2020-02-20,US,100.45,total postings,Security & Public Safety
2020-02-21,US,101.26,new postings,Security & Public Safety
2020-02-21,US,100.56,total postings,Security & Public Safety
2020-02-22,US,102.27,new postings,Security & Public Safety
2020-02-22,US,100.6,total postings,Security & Public Safety
2020-02-23,US,102.71,new postings,Security & Public Safety
2020-02-23,US,100.56,total postings,Security & Public Safety
2020-02-24,US,103.48,new postings,Security & Public Safety
2020-02-24,US,100.6,total postings,Security & Public Safety
2020-02-25,US,102.92,new postings,Security & Public Safety
2020-02-25,US,100.38,total postings,Security & Public Safety
2020-02-26,US,103.9,new postings,Security & Public Safety
2020-02-26,US,100.33,total postings,Security & Public Safety
2020-02-27,US,103.25,new postings,Security & Public Safety
2020-02-27,US,100.21,total postings,Security & Public Safety
2020-02-28,US,102.44,new postings,Security & Public Safety
2020-02-28,US,100.13,total postings,Security & Public Safety
2020-02-29,US,101.31,new postings,Security & Public Safety
2020-02-29,US,100.23,total postings,Security & Public Safety
2020-03-01,US,100.37,new postings,Security & Public Safety
2020-03-01,US,100.27,total postings,Security & Public Safety
2020-03-02,US,99.58,new postings,Security & Public Safety
2020-03-02,US,100.26,total postings,Security & Public Safety
2020-03-03,US,98.01,new postings,Security & Public Safety
2020-03-03,US,100.23,total postings,Security & Public Safety
2020-03-04,US,96.31,new postings,Security & Public Safety
2020-03-04,US,100.22,total postings,Security & Public Safety
2020-03-05,US,95.8,new postings,Security & Public Safety
2020-03-05,US,100.23,total postings,Security & Public Safety
2020-03-06,US,95.65,new postings,Security & Public Safety
2020-03-06,US,100.18,total postings,Security & Public Safety
2020-03-07,US,94.97,new postings,Security & Public Safety
2020-03-07,US,99.95,total postings,Security & Public Safety
2020-03-08,US,94.49,new postings,Security & Public Safety
2020-03-08,US,99.87,total postings,Security & Public Safety
2020-03-09,US,93.47,new postings,Security & Public Safety
2020-03-09,US,99.63,total postings,Security & Public Safety
2020-03-10,US,92.45,new postings,Security & Public Safety
2020-03-10,US,99.43,total postings,Security & Public Safety
2020-03-11,US,91.64,new postings,Security & Public Safety
2020-03-11,US,99.27,total postings,Security & Public Safety
2020-03-12,US,90.88,new postings,Security & Public Safety
2020-03-12,US,99.04,total postings,Security & Public Safety
2020-03-13,US,89.98,new postings,Security & Public Safety
2020-03-13,US,98.83,total postings,Security & Public Safety
2020-03-14,US,88.82,new postings,Security & Public Safety
2020-03-14,US,98.54,total postings,Security & Public Safety
