date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Tampa-St. Petersburg-Clearwater, FL",45300,100
2020-02-02,"Tampa-St. Petersburg-Clearwater, FL",45300,99.97
2020-02-03,"Tampa-St. Petersburg-Clearwater, FL",45300,100
2020-02-04,"Tampa-St. Petersburg-Clearwater, FL",45300,99.95
2020-02-05,"Tampa-St. Petersburg-Clearwater, FL",45300,99.92
2020-02-06,"Tampa-St. Petersburg-Clearwater, FL",45300,99.95
2020-02-07,"Tampa-St. Petersburg-Clearwater, FL",45300,99.74
2020-02-08,"Tampa-St. Petersburg-Clearwater, FL",45300,99.68
2020-02-09,"Tampa-St. Petersburg-Clearwater, FL",45300,99.53
2020-02-10,"Tampa-St. Petersburg-Clearwater, FL",45300,99.56
2020-02-11,"Tampa-St. Petersburg-Clearwater, FL",45300,99.65
2020-02-12,"Tampa-St. Petersburg-Clearwater, FL",45300,99.82
2020-02-13,"Tampa-St. Petersburg-Clearwater, FL",45300,99.92
2020-02-14,"Tampa-St. Petersburg-Clearwater, FL",45300,100.14
2020-02-15,"Tampa-St. Petersburg-Clearwater, FL",45300,100.22
2020-02-16,"Tampa-St. Petersburg-Clearwater, FL",45300,100.41
2020-02-17,"Tampa-St. Petersburg-Clearwater, FL",45300,100.39
2020-02-18,"Tampa-St. Petersburg-Clearwater, FL",45300,100.36
2020-02-19,"Tampa-St. Petersburg-Clearwater, FL",45300,100.32
2020-02-20,"Tampa-St. Petersburg-Clearwater, FL",45300,100.24
2020-02-21,"Tampa-St. Petersburg-Clearwater, FL",45300,100.17
2020-02-22,"Tampa-St. Petersburg-Clearwater, FL",45300,100.08
2020-02-23,"Tampa-St. Petersburg-Clearwater, FL",45300,99.95
2020-02-24,"Tampa-St. Petersburg-Clearwater, FL",45300,99.94
2020-02-25,"Tampa-St. Petersburg-Clearwater, FL",45300,99.98
2020-02-26,"Tampa-St. Petersburg-Clearwater, FL",45300,99.97
2020-02-27,"Tampa-St. Petersburg-Clearwater, FL",45300,99.96
2020-02-28,"Tampa-St. Petersburg-Clearwater, FL",45300,99.95
2020-02-29,"Tampa-St. Petersburg-Clearwater, FL",45300,99.98
2020-03-01,"Tampa-St. Petersburg-Clearwater, FL",45300,99.97
2020-03-02,"Tampa-St. Petersburg-Clearwater, FL",45300,99.98
2020-03-03,"Tampa-St. Petersburg-Clearwater, FL",45300,99.87
2020-03-04,"Tampa-St. Petersburg-Clearwater, FL",45300,99.66
2020-03-05,"Tampa-St. Petersburg-Clearwater, FL",45300,99.53
2020-03-06,"Tampa-St. Petersburg-Clearwater, FL",45300,99.5
2020-03-07,"Tampa-St. Petersburg-Clearwater, FL",45300,99.32
2020-03-08,"Tampa-St. Petersburg-Clearwater, FL",45300,99.29
2020-03-09,"Tampa-St. Petersburg-Clearwater, FL",45300,99
2020-03-10,"Tampa-St. Petersburg-Clearwater, FL",45300,98.8
2020-03-11,"Tampa-St. Petersburg-Clearwater, FL",45300,98.65
2020-03-12,"Tampa-St. Petersburg-Clearwater, FL",45300,98.48
2020-03-13,"Tampa-St. Petersburg-Clearwater, FL",45300,98.22
2020-03-14,"Tampa-St. Petersburg-Clearwater, FL",45300,98.18
2020-03-15,"Tampa-St. Petersburg-Clearwater, FL",45300,97.81
2020-03-16,"Tampa-St. Petersburg-Clearwater, FL",45300,97.66
2020-03-17,"Tampa-St. Petersburg-Clearwater, FL",45300,97.29
2020-03-18,"Tampa-St. Petersburg-Clearwater, FL",45300,96.86
2020-03-19,"Tampa-St. Petersburg-Clearwater, FL",45300,96.27
2020-03-20,"Tampa-St. Petersburg-Clearwater, FL",45300,95.29
2020-03-21,"Tampa-St. Petersburg-Clearwater, FL",45300,93.92
2020-03-22,"Tampa-St. Petersburg-Clearwater, FL",45300,92.76
2020-03-23,"Tampa-St. Petersburg-Clearwater, FL",45300,91.39
2020-03-24,"Tampa-St. Petersburg-Clearwater, FL",45300,89.92
2020-03-25,"Tampa-St. Petersburg-Clearwater, FL",45300,88.19
2020-03-26,"Tampa-St. Petersburg-Clearwater, FL",45300,86.4
2020-03-27,"Tampa-St. Petersburg-Clearwater, FL",45300,84.72
2020-03-28,"Tampa-St. Petersburg-Clearwater, FL",45300,83.41
2020-03-29,"Tampa-St. Petersburg-Clearwater, FL",45300,82.02
2020-03-30,"Tampa-St. Petersburg-Clearwater, FL",45300,80.7
2020-03-31,"Tampa-St. Petersburg-Clearwater, FL",45300,79.46
2020-04-01,"Tampa-St. Petersburg-Clearwater, FL",45300,78.48
2020-04-02,"Tampa-St. Petersburg-Clearwater, FL",45300,77.4
2020-04-03,"Tampa-St. Petersburg-Clearwater, FL",45300,76.58
2020-04-04,"Tampa-St. Petersburg-Clearwater, FL",45300,75.25
2020-04-05,"Tampa-St. Petersburg-Clearwater, FL",45300,73.89
2020-04-06,"Tampa-St. Petersburg-Clearwater, FL",45300,72.74
2020-04-07,"Tampa-St. Petersburg-Clearwater, FL",45300,71.39
2020-04-08,"Tampa-St. Petersburg-Clearwater, FL",45300,70.33
2020-04-09,"Tampa-St. Petersburg-Clearwater, FL",45300,69.29
2020-04-10,"Tampa-St. Petersburg-Clearwater, FL",45300,68.09
2020-04-11,"Tampa-St. Petersburg-Clearwater, FL",45300,67.34
2020-04-12,"Tampa-St. Petersburg-Clearwater, FL",45300,66.62
2020-04-13,"Tampa-St. Petersburg-Clearwater, FL",45300,66
2020-04-14,"Tampa-St. Petersburg-Clearwater, FL",45300,65.64
2020-04-15,"Tampa-St. Petersburg-Clearwater, FL",45300,65.06
2020-04-16,"Tampa-St. Petersburg-Clearwater, FL",45300,64.57
2020-04-17,"Tampa-St. Petersburg-Clearwater, FL",45300,63.75
2020-04-18,"Tampa-St. Petersburg-Clearwater, FL",45300,62.99
2020-04-19,"Tampa-St. Petersburg-Clearwater, FL",45300,62.28
2020-04-20,"Tampa-St. Petersburg-Clearwater, FL",45300,61.56
2020-04-21,"Tampa-St. Petersburg-Clearwater, FL",45300,60.92
2020-04-22,"Tampa-St. Petersburg-Clearwater, FL",45300,60.16
2020-04-23,"Tampa-St. Petersburg-Clearwater, FL",45300,59.37
2020-04-24,"Tampa-St. Petersburg-Clearwater, FL",45300,58.94
2020-04-25,"Tampa-St. Petersburg-Clearwater, FL",45300,58.52
2020-04-26,"Tampa-St. Petersburg-Clearwater, FL",45300,58.15
2020-04-27,"Tampa-St. Petersburg-Clearwater, FL",45300,57.62
2020-04-28,"Tampa-St. Petersburg-Clearwater, FL",45300,57.17
2020-04-29,"Tampa-St. Petersburg-Clearwater, FL",45300,56.86
2020-04-30,"Tampa-St. Petersburg-Clearwater, FL",45300,56.86
2020-05-01,"Tampa-St. Petersburg-Clearwater, FL",45300,57.12
2020-05-02,"Tampa-St. Petersburg-Clearwater, FL",45300,57.23
2020-05-03,"Tampa-St. Petersburg-Clearwater, FL",45300,57.47
2020-05-04,"Tampa-St. Petersburg-Clearwater, FL",45300,57.85
2020-05-05,"Tampa-St. Petersburg-Clearwater, FL",45300,58.19
2020-05-06,"Tampa-St. Petersburg-Clearwater, FL",45300,58.55
2020-05-07,"Tampa-St. Petersburg-Clearwater, FL",45300,58.73
2020-05-08,"Tampa-St. Petersburg-Clearwater, FL",45300,58.92
2020-05-09,"Tampa-St. Petersburg-Clearwater, FL",45300,59.34
2020-05-10,"Tampa-St. Petersburg-Clearwater, FL",45300,59.67
2020-05-11,"Tampa-St. Petersburg-Clearwater, FL",45300,59.78
2020-05-12,"Tampa-St. Petersburg-Clearwater, FL",45300,60.04
2020-05-13,"Tampa-St. Petersburg-Clearwater, FL",45300,59.86
2020-05-14,"Tampa-St. Petersburg-Clearwater, FL",45300,60.07
2020-05-15,"Tampa-St. Petersburg-Clearwater, FL",45300,60.47
2020-05-16,"Tampa-St. Petersburg-Clearwater, FL",45300,60.56
2020-05-17,"Tampa-St. Petersburg-Clearwater, FL",45300,60.73
2020-05-18,"Tampa-St. Petersburg-Clearwater, FL",45300,61.11
2020-05-19,"Tampa-St. Petersburg-Clearwater, FL",45300,61.42
2020-05-20,"Tampa-St. Petersburg-Clearwater, FL",45300,62.16
2020-05-21,"Tampa-St. Petersburg-Clearwater, FL",45300,62.6
2020-05-22,"Tampa-St. Petersburg-Clearwater, FL",45300,62.68
2020-05-23,"Tampa-St. Petersburg-Clearwater, FL",45300,63.33
2020-05-24,"Tampa-St. Petersburg-Clearwater, FL",45300,63.67
2020-05-25,"Tampa-St. Petersburg-Clearwater, FL",45300,63.87
2020-05-26,"Tampa-St. Petersburg-Clearwater, FL",45300,63.93
2020-05-27,"Tampa-St. Petersburg-Clearwater, FL",45300,63.78
2020-05-28,"Tampa-St. Petersburg-Clearwater, FL",45300,63.91
2020-05-29,"Tampa-St. Petersburg-Clearwater, FL",45300,64.21
2020-05-30,"Tampa-St. Petersburg-Clearwater, FL",45300,64.5
2020-05-31,"Tampa-St. Petersburg-Clearwater, FL",45300,64.79
