date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100
2020-02-02,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100
2020-02-03,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,99.98
2020-02-04,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100
2020-02-05,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.04
2020-02-06,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.13
2020-02-07,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.02
2020-02-08,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.08
2020-02-09,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.08
2020-02-10,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.17
2020-02-11,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.24
2020-02-12,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.39
2020-02-13,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.53
2020-02-14,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.79
2020-02-15,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.74
2020-02-16,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.76
2020-02-17,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.77
2020-02-18,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.77
2020-02-19,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.58
2020-02-20,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.44
2020-02-21,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.27
2020-02-22,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.12
2020-02-23,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.11
2020-02-24,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.05
2020-02-25,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.04
2020-02-26,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.12
2020-02-27,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.07
2020-02-28,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.15
2020-02-29,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.37
2020-03-01,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.49
2020-03-02,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.59
2020-03-03,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.7
2020-03-04,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.8
2020-03-05,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.95
2020-03-06,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.99
2020-03-07,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.93
2020-03-08,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.89
2020-03-09,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.68
2020-03-10,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.54
2020-03-11,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.45
2020-03-12,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.42
2020-03-13,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.31
2020-03-14,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,100.17
2020-03-15,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,99.99
2020-03-16,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,99.99
2020-03-17,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,99.6
2020-03-18,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,98.72
2020-03-19,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,97.58
2020-03-20,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,96.24
2020-03-21,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,94.46
2020-03-22,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,92.72
2020-03-23,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,90.79
2020-03-24,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,88.94
2020-03-25,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,87.11
2020-03-26,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,85.28
2020-03-27,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,83.23
2020-03-28,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,81.55
2020-03-29,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,79.78
2020-03-30,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,78.16
2020-03-31,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,76.67
2020-04-01,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,75.31
2020-04-02,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,74.07
2020-04-03,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,73.1
2020-04-04,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,71.72
2020-04-05,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,70.17
2020-04-06,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,69.01
2020-04-07,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,67.59
2020-04-08,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,66.53
2020-04-09,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,65.3
2020-04-10,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,64.09
2020-04-11,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,63.46
2020-04-12,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,62.97
2020-04-13,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,62.18
2020-04-14,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,61.7
2020-04-15,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,61.1
2020-04-16,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,60.69
2020-04-17,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,60.34
2020-04-18,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,59.97
2020-04-19,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,59.53
2020-04-20,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,59.27
2020-04-21,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.97
2020-04-22,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.63
2020-04-23,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.42
2020-04-24,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.27
2020-04-25,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.08
2020-04-26,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57.97
2020-04-27,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57.74
2020-04-28,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57.61
2020-04-29,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57.52
2020-04-30,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57.39
2020-05-01,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57.27
2020-05-02,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57.16
2020-05-03,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.99
2020-05-04,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.94
2020-05-05,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.79
2020-05-06,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.76
2020-05-07,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.57
2020-05-08,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.49
2020-05-09,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.56
2020-05-10,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.73
2020-05-11,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.7
2020-05-12,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.88
2020-05-13,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.58
2020-05-14,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.67
2020-05-15,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.84
2020-05-16,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,56.83
2020-05-17,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57.03
2020-05-18,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57.26
2020-05-19,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57.3
2020-05-20,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,57.86
2020-05-21,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.18
2020-05-22,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.32
2020-05-23,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.67
2020-05-24,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.71
2020-05-25,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.82
2020-05-26,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.87
2020-05-27,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.75
2020-05-28,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.69
2020-05-29,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,58.84
2020-05-30,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,59.07
2020-05-31,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,59.45
2020-06-01,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,59.62
2020-06-02,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,60.02
2020-06-03,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,60.55
2020-06-04,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,61.1
2020-06-05,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,61.48
2020-06-06,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,61.87
2020-06-07,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,62.19
2020-06-08,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,62.56
2020-06-09,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,62.95
2020-06-10,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,63.37
2020-06-11,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,63.75
2020-06-12,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,64.13
2020-06-13,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,64.3
2020-06-14,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,64.56
2020-06-15,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,65.1
2020-06-16,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,65.41
2020-06-17,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,65.65
2020-06-18,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,65.97
2020-06-19,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,66.25
2020-06-20,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,66.57
2020-06-21,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,66.83
2020-06-22,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,67.06
2020-06-23,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,67.12
