date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Orlando-Kissimmee-Sanford, FL",36740,100
2020-02-02,"Orlando-Kissimmee-Sanford, FL",36740,99.94
2020-02-03,"Orlando-Kissimmee-Sanford, FL",36740,100.01
2020-02-04,"Orlando-Kissimmee-Sanford, FL",36740,100.02
2020-02-05,"Orlando-Kissimmee-Sanford, FL",36740,100.11
2020-02-06,"Orlando-Kissimmee-Sanford, FL",36740,100.25
2020-02-07,"Orlando-Kissimmee-Sanford, FL",36740,100.03
2020-02-08,"Orlando-Kissimmee-Sanford, FL",36740,99.98
2020-02-09,"Orlando-Kissimmee-Sanford, FL",36740,99.92
2020-02-10,"Orlando-Kissimmee-Sanford, FL",36740,99.94
2020-02-11,"Orlando-Kissimmee-Sanford, FL",36740,99.96
2020-02-12,"Orlando-Kissimmee-Sanford, FL",36740,100.02
2020-02-13,"Orlando-Kissimmee-Sanford, FL",36740,100.04
2020-02-14,"Orlando-Kissimmee-Sanford, FL",36740,100.18
2020-02-15,"Orlando-Kissimmee-Sanford, FL",36740,100.01
2020-02-16,"Orlando-Kissimmee-Sanford, FL",36740,99.93
2020-02-17,"Orlando-Kissimmee-Sanford, FL",36740,99.77
2020-02-18,"Orlando-Kissimmee-Sanford, FL",36740,99.69
2020-02-19,"Orlando-Kissimmee-Sanford, FL",36740,99.49
2020-02-20,"Orlando-Kissimmee-Sanford, FL",36740,99.27
2020-02-21,"Orlando-Kissimmee-Sanford, FL",36740,99.2
2020-02-22,"Orlando-Kissimmee-Sanford, FL",36740,99.18
2020-02-23,"Orlando-Kissimmee-Sanford, FL",36740,99.13
2020-02-24,"Orlando-Kissimmee-Sanford, FL",36740,99.17
2020-02-25,"Orlando-Kissimmee-Sanford, FL",36740,99.14
2020-02-26,"Orlando-Kissimmee-Sanford, FL",36740,99.18
2020-02-27,"Orlando-Kissimmee-Sanford, FL",36740,99.22
2020-02-28,"Orlando-Kissimmee-Sanford, FL",36740,99.18
2020-02-29,"Orlando-Kissimmee-Sanford, FL",36740,99.29
2020-03-01,"Orlando-Kissimmee-Sanford, FL",36740,99.38
2020-03-02,"Orlando-Kissimmee-Sanford, FL",36740,99.39
2020-03-03,"Orlando-Kissimmee-Sanford, FL",36740,99.37
2020-03-04,"Orlando-Kissimmee-Sanford, FL",36740,99.31
2020-03-05,"Orlando-Kissimmee-Sanford, FL",36740,99.26
2020-03-06,"Orlando-Kissimmee-Sanford, FL",36740,99.28
2020-03-07,"Orlando-Kissimmee-Sanford, FL",36740,99.01
2020-03-08,"Orlando-Kissimmee-Sanford, FL",36740,98.87
2020-03-09,"Orlando-Kissimmee-Sanford, FL",36740,98.55
2020-03-10,"Orlando-Kissimmee-Sanford, FL",36740,98.27
2020-03-11,"Orlando-Kissimmee-Sanford, FL",36740,98
2020-03-12,"Orlando-Kissimmee-Sanford, FL",36740,97.67
2020-03-13,"Orlando-Kissimmee-Sanford, FL",36740,97.25
2020-03-14,"Orlando-Kissimmee-Sanford, FL",36740,97.02
2020-03-15,"Orlando-Kissimmee-Sanford, FL",36740,96.51
2020-03-16,"Orlando-Kissimmee-Sanford, FL",36740,96.21
2020-03-17,"Orlando-Kissimmee-Sanford, FL",36740,95.54
2020-03-18,"Orlando-Kissimmee-Sanford, FL",36740,94.7
2020-03-19,"Orlando-Kissimmee-Sanford, FL",36740,93.81
2020-03-20,"Orlando-Kissimmee-Sanford, FL",36740,92.57
2020-03-21,"Orlando-Kissimmee-Sanford, FL",36740,90.86
2020-03-22,"Orlando-Kissimmee-Sanford, FL",36740,89.32
2020-03-23,"Orlando-Kissimmee-Sanford, FL",36740,87.62
2020-03-24,"Orlando-Kissimmee-Sanford, FL",36740,86.01
2020-03-25,"Orlando-Kissimmee-Sanford, FL",36740,84.27
2020-03-26,"Orlando-Kissimmee-Sanford, FL",36740,82.35
2020-03-27,"Orlando-Kissimmee-Sanford, FL",36740,80.44
2020-03-28,"Orlando-Kissimmee-Sanford, FL",36740,78.87
2020-03-29,"Orlando-Kissimmee-Sanford, FL",36740,77.14
2020-03-30,"Orlando-Kissimmee-Sanford, FL",36740,75.49
2020-03-31,"Orlando-Kissimmee-Sanford, FL",36740,73.95
2020-04-01,"Orlando-Kissimmee-Sanford, FL",36740,72.48
2020-04-02,"Orlando-Kissimmee-Sanford, FL",36740,71.08
2020-04-03,"Orlando-Kissimmee-Sanford, FL",36740,69.98
2020-04-04,"Orlando-Kissimmee-Sanford, FL",36740,68.56
2020-04-05,"Orlando-Kissimmee-Sanford, FL",36740,67.15
2020-04-06,"Orlando-Kissimmee-Sanford, FL",36740,65.93
2020-04-07,"Orlando-Kissimmee-Sanford, FL",36740,64.46
2020-04-08,"Orlando-Kissimmee-Sanford, FL",36740,63.32
2020-04-09,"Orlando-Kissimmee-Sanford, FL",36740,62.19
2020-04-10,"Orlando-Kissimmee-Sanford, FL",36740,60.95
2020-04-11,"Orlando-Kissimmee-Sanford, FL",36740,60.14
2020-04-12,"Orlando-Kissimmee-Sanford, FL",36740,59.41
2020-04-13,"Orlando-Kissimmee-Sanford, FL",36740,58.69
2020-04-14,"Orlando-Kissimmee-Sanford, FL",36740,58.26
2020-04-15,"Orlando-Kissimmee-Sanford, FL",36740,57.71
2020-04-16,"Orlando-Kissimmee-Sanford, FL",36740,57.16
2020-04-17,"Orlando-Kissimmee-Sanford, FL",36740,56.51
2020-04-18,"Orlando-Kissimmee-Sanford, FL",36740,55.93
2020-04-19,"Orlando-Kissimmee-Sanford, FL",36740,55.37
2020-04-20,"Orlando-Kissimmee-Sanford, FL",36740,54.81
2020-04-21,"Orlando-Kissimmee-Sanford, FL",36740,54.34
2020-04-22,"Orlando-Kissimmee-Sanford, FL",36740,53.79
2020-04-23,"Orlando-Kissimmee-Sanford, FL",36740,53.2
2020-04-24,"Orlando-Kissimmee-Sanford, FL",36740,52.83
2020-04-25,"Orlando-Kissimmee-Sanford, FL",36740,52.51
2020-04-26,"Orlando-Kissimmee-Sanford, FL",36740,52.2
2020-04-27,"Orlando-Kissimmee-Sanford, FL",36740,51.81
2020-04-28,"Orlando-Kissimmee-Sanford, FL",36740,51.43
2020-04-29,"Orlando-Kissimmee-Sanford, FL",36740,51.1
2020-04-30,"Orlando-Kissimmee-Sanford, FL",36740,51.09
2020-05-01,"Orlando-Kissimmee-Sanford, FL",36740,51.15
2020-05-02,"Orlando-Kissimmee-Sanford, FL",36740,51.13
2020-05-03,"Orlando-Kissimmee-Sanford, FL",36740,51.18
2020-05-04,"Orlando-Kissimmee-Sanford, FL",36740,51.26
2020-05-05,"Orlando-Kissimmee-Sanford, FL",36740,51.39
2020-05-06,"Orlando-Kissimmee-Sanford, FL",36740,51.66
2020-05-07,"Orlando-Kissimmee-Sanford, FL",36740,51.74
2020-05-08,"Orlando-Kissimmee-Sanford, FL",36740,51.89
2020-05-09,"Orlando-Kissimmee-Sanford, FL",36740,52.16
2020-05-10,"Orlando-Kissimmee-Sanford, FL",36740,52.47
2020-05-11,"Orlando-Kissimmee-Sanford, FL",36740,52.69
2020-05-12,"Orlando-Kissimmee-Sanford, FL",36740,52.96
2020-05-13,"Orlando-Kissimmee-Sanford, FL",36740,52.76
2020-05-14,"Orlando-Kissimmee-Sanford, FL",36740,52.81
2020-05-15,"Orlando-Kissimmee-Sanford, FL",36740,53.08
2020-05-16,"Orlando-Kissimmee-Sanford, FL",36740,53.18
2020-05-17,"Orlando-Kissimmee-Sanford, FL",36740,53.29
2020-05-18,"Orlando-Kissimmee-Sanford, FL",36740,53.48
2020-05-19,"Orlando-Kissimmee-Sanford, FL",36740,53.57
2020-05-20,"Orlando-Kissimmee-Sanford, FL",36740,54.05
2020-05-21,"Orlando-Kissimmee-Sanford, FL",36740,54.54
2020-05-22,"Orlando-Kissimmee-Sanford, FL",36740,54.79
2020-05-23,"Orlando-Kissimmee-Sanford, FL",36740,55.13
2020-05-24,"Orlando-Kissimmee-Sanford, FL",36740,55.34
2020-05-25,"Orlando-Kissimmee-Sanford, FL",36740,55.46
2020-05-26,"Orlando-Kissimmee-Sanford, FL",36740,55.6
2020-05-27,"Orlando-Kissimmee-Sanford, FL",36740,55.7
2020-05-28,"Orlando-Kissimmee-Sanford, FL",36740,55.68
2020-05-29,"Orlando-Kissimmee-Sanford, FL",36740,55.77
2020-05-30,"Orlando-Kissimmee-Sanford, FL",36740,56.06
2020-05-31,"Orlando-Kissimmee-Sanford, FL",36740,56.27
2020-06-01,"Orlando-Kissimmee-Sanford, FL",36740,56.58
2020-06-02,"Orlando-Kissimmee-Sanford, FL",36740,56.86
2020-06-03,"Orlando-Kissimmee-Sanford, FL",36740,57.32
2020-06-04,"Orlando-Kissimmee-Sanford, FL",36740,57.74
2020-06-05,"Orlando-Kissimmee-Sanford, FL",36740,58.04
2020-06-06,"Orlando-Kissimmee-Sanford, FL",36740,58.2
2020-06-07,"Orlando-Kissimmee-Sanford, FL",36740,58.27
2020-06-08,"Orlando-Kissimmee-Sanford, FL",36740,58.42
2020-06-09,"Orlando-Kissimmee-Sanford, FL",36740,58.62
2020-06-10,"Orlando-Kissimmee-Sanford, FL",36740,58.88
2020-06-11,"Orlando-Kissimmee-Sanford, FL",36740,59.14
2020-06-12,"Orlando-Kissimmee-Sanford, FL",36740,59.41
2020-06-13,"Orlando-Kissimmee-Sanford, FL",36740,59.71
2020-06-14,"Orlando-Kissimmee-Sanford, FL",36740,60.3
2020-06-15,"Orlando-Kissimmee-Sanford, FL",36740,60.9
2020-06-16,"Orlando-Kissimmee-Sanford, FL",36740,61.4
2020-06-17,"Orlando-Kissimmee-Sanford, FL",36740,61.73
2020-06-18,"Orlando-Kissimmee-Sanford, FL",36740,62.05
