date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Sacramento-Roseville-Folsom, CA",40900,100
2020-02-02,"Sacramento-Roseville-Folsom, CA",40900,100.13
2020-02-03,"Sacramento-Roseville-Folsom, CA",40900,100.31
2020-02-04,"Sacramento-Roseville-Folsom, CA",40900,100.47
2020-02-05,"Sacramento-Roseville-Folsom, CA",40900,100.59
2020-02-06,"Sacramento-Roseville-Folsom, CA",40900,100.72
2020-02-07,"Sacramento-Roseville-Folsom, CA",40900,100.57
2020-02-08,"Sacramento-Roseville-Folsom, CA",40900,100.52
2020-02-09,"Sacramento-Roseville-Folsom, CA",40900,100.33
2020-02-10,"Sacramento-Roseville-Folsom, CA",40900,100.26
2020-02-11,"Sacramento-Roseville-Folsom, CA",40900,100.23
2020-02-12,"Sacramento-Roseville-Folsom, CA",40900,100.24
2020-02-13,"Sacramento-Roseville-Folsom, CA",40900,100.22
2020-02-14,"Sacramento-Roseville-Folsom, CA",40900,100.31
2020-02-15,"Sacramento-Roseville-Folsom, CA",40900,100.22
2020-02-16,"Sacramento-Roseville-Folsom, CA",40900,100.37
2020-02-17,"Sacramento-Roseville-Folsom, CA",40900,100.43
2020-02-18,"Sacramento-Roseville-Folsom, CA",40900,100.3
2020-02-19,"Sacramento-Roseville-Folsom, CA",40900,100.2
2020-02-20,"Sacramento-Roseville-Folsom, CA",40900,100.18
2020-02-21,"Sacramento-Roseville-Folsom, CA",40900,100.22
2020-02-22,"Sacramento-Roseville-Folsom, CA",40900,100.27
2020-02-23,"Sacramento-Roseville-Folsom, CA",40900,100.38
2020-02-24,"Sacramento-Roseville-Folsom, CA",40900,100.42
2020-02-25,"Sacramento-Roseville-Folsom, CA",40900,100.63
2020-02-26,"Sacramento-Roseville-Folsom, CA",40900,100.8
2020-02-27,"Sacramento-Roseville-Folsom, CA",40900,100.8
2020-02-28,"Sacramento-Roseville-Folsom, CA",40900,100.72
2020-02-29,"Sacramento-Roseville-Folsom, CA",40900,100.77
2020-03-01,"Sacramento-Roseville-Folsom, CA",40900,100.55
2020-03-02,"Sacramento-Roseville-Folsom, CA",40900,100.5
2020-03-03,"Sacramento-Roseville-Folsom, CA",40900,100.41
2020-03-04,"Sacramento-Roseville-Folsom, CA",40900,100.38
2020-03-05,"Sacramento-Roseville-Folsom, CA",40900,100.36
2020-03-06,"Sacramento-Roseville-Folsom, CA",40900,100.61
2020-03-07,"Sacramento-Roseville-Folsom, CA",40900,100.53
2020-03-08,"Sacramento-Roseville-Folsom, CA",40900,100.7
2020-03-09,"Sacramento-Roseville-Folsom, CA",40900,100.74
2020-03-10,"Sacramento-Roseville-Folsom, CA",40900,100.87
2020-03-11,"Sacramento-Roseville-Folsom, CA",40900,101
2020-03-12,"Sacramento-Roseville-Folsom, CA",40900,101.14
2020-03-13,"Sacramento-Roseville-Folsom, CA",40900,101.01
2020-03-14,"Sacramento-Roseville-Folsom, CA",40900,101.14
2020-03-15,"Sacramento-Roseville-Folsom, CA",40900,101.02
2020-03-16,"Sacramento-Roseville-Folsom, CA",40900,101.02
2020-03-17,"Sacramento-Roseville-Folsom, CA",40900,100.76
2020-03-18,"Sacramento-Roseville-Folsom, CA",40900,100.18
2020-03-19,"Sacramento-Roseville-Folsom, CA",40900,99.37
2020-03-20,"Sacramento-Roseville-Folsom, CA",40900,98.25
2020-03-21,"Sacramento-Roseville-Folsom, CA",40900,96.68
2020-03-22,"Sacramento-Roseville-Folsom, CA",40900,95.18
2020-03-23,"Sacramento-Roseville-Folsom, CA",40900,93.48
2020-03-24,"Sacramento-Roseville-Folsom, CA",40900,91.8
2020-03-25,"Sacramento-Roseville-Folsom, CA",40900,89.98
2020-03-26,"Sacramento-Roseville-Folsom, CA",40900,88.23
2020-03-27,"Sacramento-Roseville-Folsom, CA",40900,86.52
2020-03-28,"Sacramento-Roseville-Folsom, CA",40900,85.22
2020-03-29,"Sacramento-Roseville-Folsom, CA",40900,83.86
2020-03-30,"Sacramento-Roseville-Folsom, CA",40900,82.83
2020-03-31,"Sacramento-Roseville-Folsom, CA",40900,81.77
2020-04-01,"Sacramento-Roseville-Folsom, CA",40900,80.77
2020-04-02,"Sacramento-Roseville-Folsom, CA",40900,79.7
2020-04-03,"Sacramento-Roseville-Folsom, CA",40900,78.72
2020-04-04,"Sacramento-Roseville-Folsom, CA",40900,77.35
2020-04-05,"Sacramento-Roseville-Folsom, CA",40900,76.11
2020-04-06,"Sacramento-Roseville-Folsom, CA",40900,74.8
2020-04-07,"Sacramento-Roseville-Folsom, CA",40900,73.42
2020-04-08,"Sacramento-Roseville-Folsom, CA",40900,72.22
2020-04-09,"Sacramento-Roseville-Folsom, CA",40900,71.27
2020-04-10,"Sacramento-Roseville-Folsom, CA",40900,70.41
2020-04-11,"Sacramento-Roseville-Folsom, CA",40900,69.89
2020-04-12,"Sacramento-Roseville-Folsom, CA",40900,69.37
2020-04-13,"Sacramento-Roseville-Folsom, CA",40900,68.85
2020-04-14,"Sacramento-Roseville-Folsom, CA",40900,68.46
2020-04-15,"Sacramento-Roseville-Folsom, CA",40900,68.07
2020-04-16,"Sacramento-Roseville-Folsom, CA",40900,67.55
2020-04-17,"Sacramento-Roseville-Folsom, CA",40900,67.11
2020-04-18,"Sacramento-Roseville-Folsom, CA",40900,66.71
2020-04-19,"Sacramento-Roseville-Folsom, CA",40900,66.28
2020-04-20,"Sacramento-Roseville-Folsom, CA",40900,65.82
2020-04-21,"Sacramento-Roseville-Folsom, CA",40900,65.48
2020-04-22,"Sacramento-Roseville-Folsom, CA",40900,65.19
2020-04-23,"Sacramento-Roseville-Folsom, CA",40900,64.91
2020-04-24,"Sacramento-Roseville-Folsom, CA",40900,64.62
2020-04-25,"Sacramento-Roseville-Folsom, CA",40900,64.44
2020-04-26,"Sacramento-Roseville-Folsom, CA",40900,64.15
2020-04-27,"Sacramento-Roseville-Folsom, CA",40900,63.87
2020-04-28,"Sacramento-Roseville-Folsom, CA",40900,63.58
2020-04-29,"Sacramento-Roseville-Folsom, CA",40900,63.37
2020-04-30,"Sacramento-Roseville-Folsom, CA",40900,63.23
2020-05-01,"Sacramento-Roseville-Folsom, CA",40900,63.16
2020-05-02,"Sacramento-Roseville-Folsom, CA",40900,62.88
2020-05-03,"Sacramento-Roseville-Folsom, CA",40900,62.69
2020-05-04,"Sacramento-Roseville-Folsom, CA",40900,62.55
2020-05-05,"Sacramento-Roseville-Folsom, CA",40900,62.33
2020-05-06,"Sacramento-Roseville-Folsom, CA",40900,62.2
2020-05-07,"Sacramento-Roseville-Folsom, CA",40900,61.95
2020-05-08,"Sacramento-Roseville-Folsom, CA",40900,61.79
2020-05-09,"Sacramento-Roseville-Folsom, CA",40900,61.88
2020-05-10,"Sacramento-Roseville-Folsom, CA",40900,62.12
2020-05-11,"Sacramento-Roseville-Folsom, CA",40900,62.14
2020-05-12,"Sacramento-Roseville-Folsom, CA",40900,62.21
2020-05-13,"Sacramento-Roseville-Folsom, CA",40900,62.04
2020-05-14,"Sacramento-Roseville-Folsom, CA",40900,62.35
2020-05-15,"Sacramento-Roseville-Folsom, CA",40900,62.82
2020-05-16,"Sacramento-Roseville-Folsom, CA",40900,63.17
2020-05-17,"Sacramento-Roseville-Folsom, CA",40900,63.45
2020-05-18,"Sacramento-Roseville-Folsom, CA",40900,63.89
2020-05-19,"Sacramento-Roseville-Folsom, CA",40900,64.34
2020-05-20,"Sacramento-Roseville-Folsom, CA",40900,64.99
2020-05-21,"Sacramento-Roseville-Folsom, CA",40900,65.42
2020-05-22,"Sacramento-Roseville-Folsom, CA",40900,65.72
2020-05-23,"Sacramento-Roseville-Folsom, CA",40900,66.05
2020-05-24,"Sacramento-Roseville-Folsom, CA",40900,66.22
2020-05-25,"Sacramento-Roseville-Folsom, CA",40900,66.21
2020-05-26,"Sacramento-Roseville-Folsom, CA",40900,66.21
2020-05-27,"Sacramento-Roseville-Folsom, CA",40900,66.18
2020-05-28,"Sacramento-Roseville-Folsom, CA",40900,66.18
2020-05-29,"Sacramento-Roseville-Folsom, CA",40900,66.2
2020-05-30,"Sacramento-Roseville-Folsom, CA",40900,66.34
2020-05-31,"Sacramento-Roseville-Folsom, CA",40900,66.66
2020-06-01,"Sacramento-Roseville-Folsom, CA",40900,67.14
2020-06-02,"Sacramento-Roseville-Folsom, CA",40900,67.81
2020-06-03,"Sacramento-Roseville-Folsom, CA",40900,68.55
2020-06-04,"Sacramento-Roseville-Folsom, CA",40900,69.18
2020-06-05,"Sacramento-Roseville-Folsom, CA",40900,69.74
