date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Austin-Round Rock-Georgetown, TX",12420,100
2020-02-02,"Austin-Round Rock-Georgetown, TX",12420,100.16
2020-02-03,"Austin-Round Rock-Georgetown, TX",12420,100.21
2020-02-04,"Austin-Round Rock-Georgetown, TX",12420,100.31
2020-02-05,"Austin-Round Rock-Georgetown, TX",12420,100.39
2020-02-06,"Austin-Round Rock-Georgetown, TX",12420,100.51
2020-02-07,"Austin-Round Rock-Georgetown, TX",12420,100.44
2020-02-08,"Austin-Round Rock-Georgetown, TX",12420,100.43
2020-02-09,"Austin-Round Rock-Georgetown, TX",12420,100.36
2020-02-10,"Austin-Round Rock-Georgetown, TX",12420,100.31
2020-02-11,"Austin-Round Rock-Georgetown, TX",12420,100.11
2020-02-12,"Austin-Round Rock-Georgetown, TX",12420,100.06
2020-02-13,"Austin-Round Rock-Georgetown, TX",12420,100
2020-02-14,"Austin-Round Rock-Georgetown, TX",12420,100.1
2020-02-15,"Austin-Round Rock-Georgetown, TX",12420,100.12
2020-02-16,"Austin-Round Rock-Georgetown, TX",12420,100.17
2020-02-17,"Austin-Round Rock-Georgetown, TX",12420,100.22
2020-02-18,"Austin-Round Rock-Georgetown, TX",12420,100.26
2020-02-19,"Austin-Round Rock-Georgetown, TX",12420,100.33
2020-02-20,"Austin-Round Rock-Georgetown, TX",12420,100.39
2020-02-21,"Austin-Round Rock-Georgetown, TX",12420,100.41
2020-02-22,"Austin-Round Rock-Georgetown, TX",12420,100.37
2020-02-23,"Austin-Round Rock-Georgetown, TX",12420,100.47
2020-02-24,"Austin-Round Rock-Georgetown, TX",12420,100.55
2020-02-25,"Austin-Round Rock-Georgetown, TX",12420,100.75
2020-02-26,"Austin-Round Rock-Georgetown, TX",12420,100.8
2020-02-27,"Austin-Round Rock-Georgetown, TX",12420,100.86
2020-02-28,"Austin-Round Rock-Georgetown, TX",12420,100.9
2020-02-29,"Austin-Round Rock-Georgetown, TX",12420,101.07
2020-03-01,"Austin-Round Rock-Georgetown, TX",12420,101.04
2020-03-02,"Austin-Round Rock-Georgetown, TX",12420,101.11
2020-03-03,"Austin-Round Rock-Georgetown, TX",12420,101.11
2020-03-04,"Austin-Round Rock-Georgetown, TX",12420,101.08
2020-03-05,"Austin-Round Rock-Georgetown, TX",12420,101.05
2020-03-06,"Austin-Round Rock-Georgetown, TX",12420,101.08
2020-03-07,"Austin-Round Rock-Georgetown, TX",12420,100.83
2020-03-08,"Austin-Round Rock-Georgetown, TX",12420,100.72
2020-03-09,"Austin-Round Rock-Georgetown, TX",12420,100.48
2020-03-10,"Austin-Round Rock-Georgetown, TX",12420,100.46
2020-03-11,"Austin-Round Rock-Georgetown, TX",12420,100.46
2020-03-12,"Austin-Round Rock-Georgetown, TX",12420,100.39
2020-03-13,"Austin-Round Rock-Georgetown, TX",12420,100.13
2020-03-14,"Austin-Round Rock-Georgetown, TX",12420,100.16
2020-03-15,"Austin-Round Rock-Georgetown, TX",12420,99.91
2020-03-16,"Austin-Round Rock-Georgetown, TX",12420,99.78
2020-03-17,"Austin-Round Rock-Georgetown, TX",12420,99.18
2020-03-18,"Austin-Round Rock-Georgetown, TX",12420,98.23
2020-03-19,"Austin-Round Rock-Georgetown, TX",12420,96.97
2020-03-20,"Austin-Round Rock-Georgetown, TX",12420,95.49
2020-03-21,"Austin-Round Rock-Georgetown, TX",12420,93.61
2020-03-22,"Austin-Round Rock-Georgetown, TX",12420,91.87
2020-03-23,"Austin-Round Rock-Georgetown, TX",12420,90.01
2020-03-24,"Austin-Round Rock-Georgetown, TX",12420,88.23
2020-03-25,"Austin-Round Rock-Georgetown, TX",12420,86.56
2020-03-26,"Austin-Round Rock-Georgetown, TX",12420,84.99
2020-03-27,"Austin-Round Rock-Georgetown, TX",12420,83.36
